rT ~ Rm * exp(-1/2 * ((T - Tm)/To)^2),,,,,,,,,
,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,Rm,Tm,To,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Taylor 1981,Diptera,Muscidae,Stomoxys,calcitans,all,0.086,32.2,9.6,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Apanteles,operculella,all,0.074,38.1,11.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Apanteles,scutellaris,all,0.1,35.2,10.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Apanteles,subandinus,all,0.089,36.1,11.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Aphelinus,semiflavus,all,0.1,31.8,9.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Aphidius,rapae,all,0.098,27,9.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Bracon,mellitor,female,0.113,42.5,15.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Bracon,mellitor,male,0.108,36.4,11.9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Praon,palitans,all,0.082,27.6,7.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hymenoptera,Braconidae,Trioxys,utilus,all,0.105,28.7,8.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
